,no-people,people
1156,16.846,15.326
1157,16.451,19.133
1158,19.29,17.718
1159,19.769,16.923
1160,18.502,18.575
1161,18.518,17.591
1162,15.226,17.142
1163,19.739,18.06
1164,18.73,15.265
1165,19.947,17.816
1166,18.939,17.94
1167,20.495,15.931
1168,21.593,17.44
1169,21.451,17.31
1170,18.555,16.528
1171,18.09,17.035
1172,21.418,14.489
1173,16.296,16.977
1174,17.854,14.564
1175,21.497,11.873
1176,16.926,13.235
1177,20.118,18.463
1178,18.076,18.016
1179,19.75,18.942
1180,19.4,19.568
1181,19.332,17.336
1182,17.171,18.424
1183,18.534,16.845
1184,19.437,21.188
1185,19.267,16.714
1186,18.975,18.096
1187,17.306,19.457
1188,18.368,17.869
1189,15.934,20.382
1190,18.32,20.448
1191,17.707,18.932
1192,19.659,21.643
1193,19.432,19.095
1194,18.95,18.935
1195,20.545,16.534
1196,19.091,16.977
1197,16.717,18.804
1198,16.75,18.106
1199,20.238,17.947
1200,21.331,18.058
1201,21.578,20.213
1202,18.537,19.45
1203,16.577,17.601
1204,19.027,20.164
1205,19.928,19.381
1206,18.589,18.028
1207,18.808,18.839
1208,19.148,16.776
1209,18.49,17.697
1210,16.569,17.65
1211,20.167,18.134
1212,16.941,17.176
1213,17.266,15.902
1214,21.138,17.711
1215,17.585,14.307
1216,19.779,16.355
1217,19.643,17.188
1218,18.967,14.721
1219,15.008,16.112
1220,18.634,18.093
1221,20.028,17.974
1222,19.943,18.103
1223,19.366,18.509
1224,19.554,17.364
1225,19.317,16.923
1226,19.553,19.592
1227,19.023,17.243
1228,17.647,16.727
1229,18.414,20.669
1230,16.352,20.318
1231,17.101,18.971
1232,19.853,19.033
1233,19.829,19.434
1234,20.746,18.968
1235,17.96,19.192
1236,18.623,18.014
1237,14.954,19.376
1238,18.859,20.767
1239,17.429,18.909
1240,19.27,16.973
1241,19.517,17.741
1242,19.461,15.218
1243,17.658,13.757
1244,17.615,16.842
1245,19.782,17.319
1246,19.699,18.104
1247,18.855,16.987
1248,19.956,16.353
1249,22.37,19.062
